# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.3300,0.5900,0.7382,0.7382
-2.3300,0.5400,0.7616,0.7616
-2.3300,0.4900,0.7616,0.7616
-2.2800,0.4400,0.7632,0.7632
-2.2800,0.3900,0.7762,0.7762
-2.2300,0.3400,0.7810,0.7810
-2.1800,0.2900,0.7778,0.7778
-2.1300,0.2400,0.7616,0.7616
-2.0800,0.1900,0.7280,0.7280
-2.0300,0.1400,0.6964,0.6964
-1.9800,0.1400,0.7159,0.7159
-1.9300,0.0900,0.6801,0.6801
-1.8800,0.0900,0.6964,0.6964
-1.8300,0.0400,0.6671,0.6671
-1.7800,0.0400,0.6801,0.6801
-1.7300,0.0400,0.6964,0.6964
-1.6800,0.0400,0.6946,0.6946
-1.6300,0.0400,0.6708,0.6708
-1.5800,0.0400,0.6500,0.6500
-1.5300,-0.0100,0.6801,0.6801
-1.4800,-0.0100,0.6671,0.6671
-1.4300,-0.0100,0.6576,0.6576
-1.3800,-0.0100,0.6519,0.6519
-1.3300,-0.0100,0.6500,0.6500
-1.2800,-0.0100,0.6500,0.6500
-1.2300,-0.0100,0.6500,0.6500
-1.1800,-0.0100,0.6500,0.6500
-1.1300,-0.0100,0.6500,0.6500
-1.0800,-0.0600,0.7018,0.7018
-1.0300,-0.0600,0.7071,0.7071
-0.9800,-0.0600,0.7159,0.7159
-0.9300,-0.0600,0.7280,0.7280
-0.8800,-0.0600,0.7433,0.7433
-0.8300,-0.0600,0.7500,0.7500
-0.7800,-0.0600,0.7500,0.7500
-0.7300,-0.0600,0.7500,0.7500
-0.6800,-0.0600,0.7500,0.7500
-0.6300,-0.0600,0.7500,0.7500
-0.5800,-0.0600,0.7500,0.7500
-0.5300,-0.0600,0.7500,0.7500
-0.4800,-0.0600,0.7500,0.7500
-0.4300,-0.0600,0.7500,0.7500
-0.3800,-0.0600,0.7500,0.7500
-0.3300,-0.0600,0.7500,0.7500
-0.2800,-0.1100,0.7000,0.7000
-0.2300,-0.1100,0.7000,0.7000
-0.1800,-0.1100,0.7000,0.7000
-0.1300,-0.1100,0.7000,0.7000
-0.0800,-0.1100,0.7000,0.7000
-0.0300,-0.1100,0.7000,0.7000
0.0200,-0.1100,0.7000,0.7000
0.0700,-0.1100,0.7018,0.7018
0.1200,-0.1100,0.7071,0.7071
0.1700,-0.1100,0.7159,0.7159
0.2200,-0.1100,0.7280,0.7280
0.2700,-0.1600,0.6964,0.6964
0.3200,-0.1600,0.7000,0.7000
0.3700,-0.1600,0.7018,0.7018
0.4200,-0.1600,0.7071,0.7071
0.4700,-0.1600,0.7159,0.7159
0.5200,-0.1600,0.7280,0.7280
0.5700,-0.1600,0.7433,0.7433
0.6200,-0.1600,0.7433,0.7433
0.6700,-0.2100,0.7071,0.7071
0.7200,-0.2100,0.7159,0.7159
0.7700,-0.2100,0.7280,0.7280
0.8200,-0.2100,0.7433,0.7433
