x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m
-0.0145256; 0.2553685; 0.4943354; 0.9056646; -0.1161087; 0.9932365
-1.5262301; 0.0805017; 0.6692783; 0.7307217; -0.1107673; 0.9938464
-3.0465765; -0.0739221; 0.8245527; 0.5754473; -0.0887330; 0.9960554
-4.5734498; -0.1827027; 0.9829517; 0.5170483; -0.0506396; 0.9987170
-6.1047344; -0.2206394; 1.0206358; 0.4793642; 0.0038002; 0.9999928
-7.6383151; -0.1625320; 0.8629016; 0.5370984; 0.0746506; 0.9972098
-9.1720766; 0.0168202; 0.7330774; 0.7669226; 0.1592562; 0.9872373
-10.7039035; 0.3426176; 0.3958347; 1.1041653; 0.2597382; 0.9656791
-12.2194189; 0.8063124; 0.7516518; 1.5250527; 0.3031185; 0.9529529
-13.6314288; 1.1989388; 2.4062174; 1.8937826; 0.2093267; 0.9778458
-14.8259633; 1.2378354; 2.3675059; 1.9324941; -0.2715278; 0.9624306
-15.6941714; 0.6496829; 2.6690528; 1.5309472; -0.7641287; 0.6450638
-16.3441239; -0.4413142; 1.8813017; 2.2186983; -0.8665714; 0.4990531
-17.1437086; -1.4406124; 0.9781490; 1.9032824; -0.6629326; 0.7486791
-18.2772386; -2.1251287; 0.9182766; 1.0817234; -0.3673293; 0.9300909
-19.7479415; -2.4655310; 1.2169518; 0.6830482; -0.1076530; 0.9941885
-21.3850420; -2.4898157; 1.2406133; 0.6593867; 0.0719816; 0.9974060
-23.0006855; -2.2315749; 0.9825426; 0.9174574; 0.2484625; 0.9686415
-24.4276286; -1.7304498; 0.7491016; 1.4508984; 0.4076250; 0.9131494
-25.6940119; -1.0834209; 1.8951404; 2.0768758; 0.4829726; 0.8756355
-26.9357834; -0.4191075; 2.6693709; 2.6616819; 0.4392650; 0.8983575
-28.2879676; 0.1353193; 2.1337172; 1.3662828; 0.3143133; 0.9493193
-29.6812055; 0.6298302; 1.5649860; 1.7395716; 0.4407392; 0.8976352
-30.6792005; 1.4335428; 0.8841236; 1.4687680; 0.8192347; 0.5734584
-31.1409689; 2.7050091; 1.0421785; 0.9578215; 0.9814289; 0.1918261
-31.3270727; 4.2668626; 1.2273677; 0.7726323; 0.9991577; 0.0410345
-31.2438845; 5.8470582; 1.1454973; 0.8545027; 0.9874015; -0.1582349
-30.7816100; 7.1440486; 0.6213803; 1.3786197; 0.8161555; -0.5778323
-29.8436828; 7.8815328; 0.9300403; 0.9699597; 0.3795879; -0.9251557
-28.4960698; 8.0866264; 1.1366282; 0.7496869; -0.0009127; -0.9999996
-26.9119111; 7.9865146; 1.0373257; 0.7626743; -0.1045937; -0.9945150
-25.2661617; 7.8118128; 0.8619339; 0.8380661; -0.0864394; -0.9962571
-23.6845244; 7.7276166; 0.7775989; 1.0224011; -0.0241641; -0.9997080
-22.1592343; 7.7214710; 0.7714363; 0.9285637; 0.0124872; -0.9999220
-20.6601375; 7.7511373; 0.8011293; 0.8988707; 0.0217037; -0.9997644
-19.1582264; 7.7757702; 0.8256547; 0.8743453; 0.0092564; -0.9999572
-17.6427759; 7.7767533; 0.8267182; 0.8732818; -0.0075070; -0.9999718
-16.1177358; 7.7533119; 0.8533545; 0.8466455; -0.0233396; -0.9997276
-14.5874697; 7.7051751; 0.8054853; 0.2946253; -0.0395328; -0.9992183
-13.0563413; 7.6320714; 0.6824487; 0.3175513; -0.0559116; -0.9984357
-11.5287142; 7.5337299; 0.5837432; 0.5162568; -0.0726270; -0.9973592
-10.0089522; 7.4098792; 0.4592668; 0.6407332; -0.0900075; -0.9959411
-8.5012518; 7.2603935; 0.3091078; 0.7908922; -0.1070597; -0.9942526
-7.0063341; 7.0881650; 0.2857001; 1.0142999; -0.1211529; -0.9926339
-5.5216401; 6.8989356; 1.6734178; 1.1819338; -0.1310058; -0.9913816
-4.0444821; 6.6985583; 1.5510031; 1.0489969; -0.1373867; -0.9905175
-2.5721726; 6.4928865; 1.3449264; 0.8550736; -0.1377615; -0.9904654
-1.1020238; 6.2877733; 1.1383418; 0.9616582; -0.1411477; -0.9899885
0.3686516; 6.0890719; 0.8873474; 1.2126526; -0.1136414; -0.9935218
1.8303156; 5.8835205; 0.9787098; 1.4212902; -0.2198536; -0.9755329
3.0520672; 5.3117570; 1.7032376; 2.0379786; -0.7058230; -0.7083882
3.6392568; 3.8294343; 2.2902212; 1.8908464; -0.9918154; -0.1276805
3.4850938; 2.0692206; 2.1418861; 1.8581139; -0.9327071; 0.3606347
2.6893140; 0.9859545; 1.3192519; 1.4590136; -0.5991081; 0.8006681
1.4507737; 0.4780184; 0.3623590; 1.1376410; -0.2185033; 0.9758362
