s_m; a0; a1; a2; a3; b0; b1; b2; b3
1.5217868; -0.0145256; -1.5081051; -0.0055548; 0.0019555; 0.2553685; -0.1762965; -0.0033398; 0.0047696
1.5282002; -1.5262301; -1.5196971; 0.0003142; -0.0009636; 0.0805017; -0.1693750; 0.0110612; 0.0038899
1.5308361; -3.0465765; -1.5245234; -0.0025853; 0.0002355; -0.0739221; -0.1358113; 0.0228076; 0.0042231
1.5319431; -4.5734498; -1.5299976; -0.0018814; 0.0005944; -0.1827027; -0.0775779; 0.0355238; 0.0041174
1.5350014; -6.1047344; -1.5349044; -0.0000986; 0.0014222; -0.2206394; 0.0058329; 0.0480591; 0.0042154
1.5446772; -7.6383151; -1.5403420; 0.0042201; 0.0023605; -0.1625320; 0.1153092; 0.0614618; 0.0025812
1.5667770; -9.1720766; -1.5464234; 0.0116240; 0.0029724; 0.0168202; 0.2494613; 0.0711803; 0.0051558
1.5850209; -10.7039035; -1.5324126; 0.0210368; -0.0041396; 0.3426176; 0.4121722; 0.0887377; -0.0372151
1.4661852; -12.2194189; -1.3896526; 0.0073696; -0.0297268; 0.8063124; 0.4420254; -0.0195891; -0.0298099
1.2071369; -13.6314288; -1.1939549; -0.0544062; 0.0538267; 1.1989388; 0.2555891; -0.0725002; -0.1441922
1.0637307; -14.8259633; -1.0013942; 0.0824334; 0.0507527; 1.2378354; -0.2825205; -0.3888460; 0.0832139
1.2723218; -15.6941714; -0.8286417; 0.3441727; -0.1654835; 0.6496829; -0.9815911; -0.2041419; 0.0947360
1.2853729; -16.3441239; -0.6417063; -0.1546592; -0.0032193; -0.4413142; -1.1142787; 0.0813181; 0.0336624
1.3308347; -17.1437086; -0.9939828; -0.1759060; 0.0363588; -1.4406124; -0.8801417; 0.1951630; 0.0004624
1.5141209; -18.2772386; -1.4098754; -0.0868536; 0.0260262; -2.1251287; -0.5568150; 0.2554426; -0.0390299
1.6394819; -19.7479415; -1.6328568; -0.0103225; 0.0060788; -2.4655310; -0.1768095; 0.1627498; -0.0102250
1.6383268; -21.3850420; -1.6341377; 0.0079031; 0.0105912; -2.4898157; 0.1179338; 0.1318928; 0.0084142
1.5141648; -23.0006855; -1.4665380; 0.0339007; 0.0056942; -2.2315749; 0.3761760; 0.1342606; -0.0093114
1.4225346; -24.4276286; -1.2991791; 0.0450784; -0.0122826; -1.7304498; 0.5799466; 0.0940113; -0.0269290
1.4084609; -25.6940119; -1.2337788; 0.0080715; -0.0160642; -1.0834209; 0.6805130; 0.0129689; -0.0291686
1.4625382; -26.9357834; -1.3135876; -0.0432057; 0.0046091; -0.4191075; 0.6422977; -0.0802674; -0.0076036
1.4798836; -28.2879676; -1.4022589; -0.0300642; 0.0390852; 0.1353193; 0.4642786; -0.1054846; 0.1357169
1.2947217; -29.6812055; -1.1658802; 0.0655016; 0.1023835; 0.6298302; 0.5724475; 0.2266233; 0.0046418
1.3627222; -30.6792005; -0.7682399; 0.4152994; -0.1088279; 1.4335428; 1.0974969; 0.2680778; -0.0941084
1.5744196; -31.1409689; -0.3071160; 0.1200815; 0.0009307; 2.7050091; 1.5712804; -0.0192631; 0.0098362
1.5850298; -31.3270727; -0.0645475; 0.1243596; 0.0233760; 4.2668626; 1.5716805; 0.0103695; -0.0018544
1.3890436; -31.2438845; 0.2212789; 0.1472583; 0.0937373; 5.8470582; 1.3808020; 0.0036391; -0.0874508
1.2086996; -30.7816100; 0.6906361; 0.3217322; -0.0744411; 7.1440486; 0.9754845; -0.1942640; -0.0437363
1.3719810; -29.8436828; 1.2690298; 0.1284472; -0.0498640; 7.8815328; 0.5206781; -0.4248194; 0.1092348
1.5880510; -28.4960698; 1.6026921; -0.0286718; 0.0101385; 8.0866264; -0.0014627; -0.1316860; 0.0330369
1.6550353; -26.9119111; 1.6429483; 0.0018954; 0.0009057; 7.9865146; -0.1727898; -0.0354123; 0.0335002
1.5841330; -25.2661617; 1.5785750; 0.0042247; -0.0011624; 7.8118128; -0.1369637; 0.0596146; -0.0068471
1.5253879; -23.6845244; 1.5249754; 0.0006839; -0.0003692; 7.7276166; -0.0368604; 0.0362367; -0.0055218
1.4993966; -22.1592343; 1.4993245; -0.0004095; 0.0001818; 7.7214710; 0.0187239; 0.0190085; -0.0080661
1.5021229; -20.6601375; 1.5017731; 0.0001364; 0.0000016; 7.7511373; 0.0326017; -0.0052086; -0.0027601
1.5154685; -19.1582264; 1.5153879; 0.0001437; -0.0000810; 7.7757702; 0.0140276; -0.0137295; 0.0006849
1.5252361; -17.6427759; 1.5252015; -0.0001007; -0.0000607; 7.7767533; -0.0114500; -0.0118257; -0.0001657
1.5310397; -16.1177358; 1.5306194; -0.0002848; -0.0000684; 7.7533119; -0.0357338; -0.0124167; 0.0000136
1.5328897; -14.5874697; 1.5316925; -0.0004913; -0.0000728; 7.7051751; -0.0605994; -0.0124057; -0.0000985
1.5308069; -13.0563413; 1.5284113; -0.0007078; -0.0000764; 7.6320714; -0.0855899; -0.0126668; -0.0000849
1.5248194; -11.5287142; 1.5207931; -0.0009298; -0.0001013; 7.5337299; -0.1107431; -0.0128206; -0.0002870
1.5151114; -10.0089522; 1.5089617; -0.0012181; -0.0000431; 7.4098792; -0.1363714; -0.0135078; 0.0003935
1.5048186; -8.5012518; 1.4961683; -0.0013292; 0.0000786; 7.2603935; -0.1611052; -0.0121604; 0.0010372
1.4967106; -7.0063341; 1.4857034; -0.0010818; 0.0000724; 7.0881650; -0.1813330; -0.0089518; 0.0010553
1.4906893; -5.5216401; 1.4777914; -0.0008576; 0.0002243; 6.8989356; -0.1952822; -0.0057393; 0.0006443
1.4866058; -4.0444821; 1.4727060; -0.0001838; -0.0002126; 6.6985583; -0.2042672; -0.0037856; 0.0023810
1.4843893; -2.5721726; 1.4695054; -0.0008193; 0.0014626; 6.4928865; -0.2043901; 0.0033474; -0.0040705
1.4840910; -1.1020238; 1.4719071; 0.0035669; -0.0047985; 6.2877733; -0.2098573; -0.0088600; 0.0200159
1.4769006; 0.3686516; 1.4567581; -0.0107125; 0.0156183; 6.0890719; -0.1666274; 0.0506379; -0.0895619
1.3663779; 1.8303156; 1.3545347; 0.0301850; -0.1629681; 5.8835205; -0.3052684; -0.1821065; -0.0843887
1.6228716; 3.0520672; 1.0945064; -0.6408571; 0.1335403; 5.3117570; -1.0905430; -0.6081005; 0.2163209
1.7855541; 3.6392568; 0.2365112; -0.2950530; -0.0956212; 3.8294343; -1.8372068; 0.0501859; 0.0268072
1.3612938; 3.4850938; -0.4872064; -0.3367479; 0.0281744; 2.0692206; -1.2600587; 0.0755809; 0.1012117
1.3486949; 2.6893140; -1.0717770; -0.2501654; 0.0834020; 0.9859545; -0.8019681; 0.3761201; -0.0820881
1.4828349; 1.4507737; -1.4635762; 0.0000499; -0.0017730; 0.4780184; -0.3277151; 0.1591818; -0.0541166
s_m; a0; a1; a2; a3; b0; b1; b2; b3
1.5217868; -0.0145256; -1.5081051; -0.0055548; 0.0019555; 0.2553685; -0.1762965; -0.0033398; 0.0047696
1.5282002; -1.5262301; -1.5196971; 0.0003142; -0.0009636; 0.0805017; -0.1693750; 0.0110612; 0.0038899
1.5308361; -3.0465765; -1.5245234; -0.0025853; 0.0002355; -0.0739221; -0.1358113; 0.0228076; 0.0042231
1.5319431; -4.5734498; -1.5299976; -0.0018814; 0.0005944; -0.1827027; -0.0775779; 0.0355238; 0.0041174
1.5350014; -6.1047344; -1.5349044; -0.0000986; 0.0014222; -0.2206394; 0.0058329; 0.0480591; 0.0042154
1.5446772; -7.6383151; -1.5403420; 0.0042201; 0.0023605; -0.1625320; 0.1153092; 0.0614618; 0.0025812
1.5667770; -9.1720766; -1.5464234; 0.0116240; 0.0029724; 0.0168202; 0.2494613; 0.0711803; 0.0051558
1.5850209; -10.7039035; -1.5324126; 0.0210368; -0.0041396; 0.3426176; 0.4121722; 0.0887377; -0.0372151
1.4661852; -12.2194189; -1.3896526; 0.0073696; -0.0297268; 0.8063124; 0.4420254; -0.0195891; -0.0298099
1.2071369; -13.6314288; -1.1939549; -0.0544062; 0.0538267; 1.1989388; 0.2555891; -0.0725002; -0.1441922
1.0637307; -14.8259633; -1.0013942; 0.0824334; 0.0507527; 1.2378354; -0.2825205; -0.3888460; 0.0832139
1.2723218; -15.6941714; -0.8286417; 0.3441727; -0.1654835; 0.6496829; -0.9815911; -0.2041419; 0.0947360
1.2853729; -16.3441239; -0.6417063; -0.1546592; -0.0032193; -0.4413142; -1.1142787; 0.0813181; 0.0336624
1.3308347; -17.1437086; -0.9939828; -0.1759060; 0.0363588; -1.4406124; -0.8801417; 0.1951630; 0.0004624
1.5141209; -18.2772386; -1.4098754; -0.0868536; 0.0260262; -2.1251287; -0.5568150; 0.2554426; -0.0390299
