x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m
0.0158797; -0.0996501; 0.7097051; 0.6902949; -0.1350993; -0.9908321
0.1757341; -0.1247221; 0.7029473; 0.7330653; -0.1738647; -0.9847695
0.3331027; -0.1552989; 0.7051305; 0.6957720; -0.2065977; -0.9784260
0.4881950; -0.1903357; 0.6908192; 0.7533236; -0.2330892; -0.9724554
0.6412209; -0.2287874; 0.6817724; 0.7596773; -0.2532702; -0.9673956
0.7923898; -0.2696091; 0.6780261; 0.8016429; -0.2670814; -0.9636740
0.9419116; -0.3117559; 0.6854116; 0.7934047; -0.2744571; -0.9615994
1.0899958; -0.3541827; 0.6410378; 0.8374322; -0.2752888; -0.9613616
1.2368522; -0.3958445; 0.6987453; 0.8110311; -0.2694083; -0.9630260
1.3826904; -0.4356966; 0.7050833; 0.8081167; -0.2565810; -0.9665227
1.5277201; -0.4726938; 0.7094029; 0.8002674; -0.2365111; -0.9716288
1.6721509; -0.5057912; 0.7161563; 0.8096940; -0.2088745; -0.9779425
1.8161926; -0.5339438; 0.7323416; 0.7809080; -0.1733438; -0.9848614
1.9600548; -0.5561067; 0.7380659; 0.7485341; -0.1297548; -0.9915461
2.1039471; -0.5712350; 0.7360559; 0.7584583; -0.0778802; -0.9969627
2.2480751; -0.5782874; 0.6927410; 0.7290613; -0.0188923; -0.9998215
2.3922874; -0.5765533; 0.7290583; 0.7164178; 0.0429319; -0.9990780
2.5358075; -0.5659000; 0.7944653; 0.7055347; 0.1053336; -0.9944369
2.6777960; -0.5462535; 0.8148414; 0.6851586; 0.1690096; -0.9856144
2.8174135; -0.5175396; 0.8168879; 0.6586154; 0.2341430; -0.9722022
2.9538205; -0.4796842; 0.8150217; 0.6465028; 0.3009408; -0.9536428
3.0861776; -0.4326132; 0.8251799; 0.6535176; 0.3694365; -0.9292560
3.2136451; -0.3762524; 0.8549771; 0.6451632; 0.4394729; -0.8982558
3.3353838; -0.3105277; 0.8298589; 0.6332750; 0.5106265; -0.8598026
3.4505542; -0.2353651; 0.8279029; 0.6208242; 0.5821456; -0.8130846
3.5583167; -0.1506902; 0.7934914; 0.6215352; 0.6529066; -0.7574384
3.6578319; -0.0564292; 0.8024117; 0.6385048; 0.7214016; -0.6925169
3.7482603; 0.0474923; 0.7863945; 0.6031109; 0.7858465; -0.6184216
3.8287626; 0.1611483; 0.7392021; 0.6484115; 0.8442062; -0.5360186
3.8984992; 0.2846129; 0.6864764; 0.6614366; 0.8948876; -0.4462916
3.9566691; 0.4179030; 0.5965886; 0.6744797; 0.9351483; -0.3542565
4.0030778; 0.5601335; 0.6199920; 0.6884653; 0.9635033; -0.2676966
4.0380130; 0.7097014; 0.5808522; 0.7191478; 0.9820814; -0.1884573
4.0617761; 0.8649839; 0.6223509; 0.7420476; 0.9933428; -0.1151961
4.0746682; 1.0243582; 0.6453779; 0.7546221; 0.9988985; -0.0469226
4.0769907; 1.1862013; 0.6430456; 0.7569544; 0.9998450; 0.0176074
4.0690447; 1.3488904; 0.6508464; 0.7491536; 0.9968282; 0.0795830
4.0511315; 1.5108028; 0.6687231; 0.7312769; 0.9901199; 0.1402234
4.0235455; 1.6704485; 0.5962339; 0.7052596; 0.9797415; 0.2002662
3.9865517; 1.8268873; 0.6583778; 0.6925746; 0.9656206; 0.2599556
3.9404082; 1.9793210; 0.6929179; 0.7076704; 0.9475843; 0.3195060
3.8853726; 2.1269513; 0.7651548; 0.6902951; 0.9253401; 0.3791381
3.8217029; 2.2689798; 0.7884761; 0.7587479; 0.8984720; 0.4390308
3.7496569; 2.4046084; 0.8223414; 0.7750811; 0.8664837; 0.4992053
3.6694923; 2.5330389; 0.8535103; 0.8426586; 0.8286040; 0.5598352
3.5814846; 2.6535558; 0.8878641; 0.8516241; 0.7854508; 0.6189241
3.4860473; 2.7660932; 0.9373287; 0.8552810; 0.7391148; 0.6735795
3.3836589; 2.8708905; 0.9315957; 0.9233307; 0.6908664; 0.7229824
3.2747981; 2.9681890; 0.9695451; 0.9449381; 0.6415923; 0.7670458
3.1599436; 3.0582299; 0.9686205; 0.9797613; 0.5921901; 0.8057983
3.0395744; 3.1412545; 0.9861103; 1.0157244; 0.5433965; 0.8394762
2.9141692; 3.2175041; 0.9973770; 1.0286861; 0.4958049; 0.8684339
2.7842068; 3.2872198; 1.0292883; 1.0458763; 0.4498550; 0.8931016
2.6501660; 3.3506430; 1.0401407; 1.0634786; 0.4058482; 0.9139405
2.5125255; 3.4080148; 1.0358405; 1.0742679; 0.3639680; 0.9314115
2.3717643; 3.4595767; 1.0361683; 1.0698824; 0.3242996; 0.9459544
2.2283610; 3.5055697; 1.0773392; 1.0349142; 0.2868628; 0.9579717
2.0827945; 3.5462352; 1.0407612; 1.0538507; 0.2515917; 0.9678335
1.9355436; 3.5818145; 1.0591844; 0.9878101; 0.2185002; 0.9758369
1.7870741; 3.6125400; 1.0364946; 0.9802281; 0.1869156; 0.9823760
1.6376613; 3.6385176; 0.9887621; 0.9856790; 0.1556395; 0.9878139
1.4874367; 3.6597567; 0.9327199; 0.9724650; 0.1243486; 0.9922386
1.3365277; 3.6762646; 0.9787768; 0.9511202; 0.0931382; 0.9956532
1.1850620; 3.6880484; 0.9524856; 0.9483174; 0.0620036; 0.9980759
1.0331674; 3.6951154; 0.9449243; 0.9550757; 0.0309645; 0.9995205
0.8809714; 3.6974726; 0.9425693; 0.9574307; 0.0000315; 1.0000000
0.7286018; 3.6951274; 0.9449014; 0.9550986; -0.0307840; 0.9995261
0.5761860; 3.6880868; 0.9629545; 0.9590606; -0.0614722; 0.9981088
0.4238519; 3.6763580; 0.9102005; 0.9831247; -0.0920242; 0.9957568
0.2717270; 3.6599482; 0.9612421; 1.0014130; -0.1224309; 0.9924770
0.1199390; 3.6388647; 1.0012090; 0.9988120; -0.1526857; 0.9882748
-0.0313844; 3.6131145; 0.9378028; 0.9849333; -0.1827721; 0.9831553
-0.1821157; 3.5827049; 0.9147482; 0.9903177; -0.2127099; 0.9771154
-0.3321271; 3.5476430; 0.9065047; 1.0045168; -0.2423816; 0.9701810
-0.4812534; 3.5079139; 0.9768155; 1.0137511; -0.2727597; 0.9620822
-0.6290351; 3.4633293; 0.9587237; 0.9937543; -0.3053028; 0.9522553
-0.7748746; 3.4136195; 0.9334680; 0.9832464; -0.3403415; 0.9403019
-0.9181733; 3.3585144; 0.9229641; 0.9629885; -0.3779174; 0.9258393
-1.0583324; 3.2977436; 0.9419744; 0.9589409; -0.4180919; 0.9084047
-1.1947535; 3.2310370; 0.9807772; 0.9605854; -0.4608398; 0.8874833
-1.3268380; 3.1581244; 1.0061717; 0.9546490; -0.5060417; 0.8625090
-1.4539872; 3.0787355; 0.9898385; 0.9357457; -0.5534455; 0.8328854
-1.5756026; 2.9926002; 0.9419471; 0.9391981; -0.6026321; 0.7980192
-1.6910855; 2.8994483; 0.8900626; 0.9148817; -0.6529856; 0.7573703
-1.7998375; 2.7990095; 0.9236355; 0.8931373; -0.7036723; 0.7105246
-1.9012598; 2.6910136; 0.8762493; 0.8363841; -0.7536609; 0.6572634
-1.9947540; 2.5751905; 0.8427945; 0.8422095; -0.8017175; 0.5977032
-2.0797214; 2.4512699; 0.8043121; 0.8200982; -0.8466523; 0.5321465
-2.1555638; 2.3189838; 0.7921825; 0.8495270; -0.8868785; 0.4620026
-2.2217937; 2.1785896; 0.7686807; 0.8591487; -0.9200207; 0.3918697
-2.2781760; 2.0315472; 0.7703542; 0.8324186; -0.9458958; 0.3244706
-2.3245109; 1.8794839; 0.7727183; 0.7609427; -0.9659706; 0.2586520
-2.3605987; 1.7240271; 0.7866146; 0.7469477; -0.9810886; 0.1935590
-2.3862396; 1.5668041; 0.7466753; 0.7590019; -0.9917618; 0.1280959
-2.4012338; 1.4094422; 0.6892747; 0.7315104; -0.9981314; 0.0611041
-2.4053816; 1.2535688; 0.7747346; 0.7252654; -0.9999623; -0.0086794
