x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m
0.3658016; -0.3847888; 0.6122938; 0.8980161; 0.7749987; -0.6319629
0.5440382; -0.2256107; 0.7622084; 0.9434863; 0.5524273; -0.8335611
0.7713821; -0.1120994; 0.7983714; 0.8239083; 0.3510005; -0.9363753
1.0377521; -0.0366379; 0.8637864; 0.8362136; 0.2043185; -0.9789045
1.3330673; 0.0083909; 0.9084688; 0.8627883; 0.1049280; -0.9944798
1.6472466; 0.0306038; 0.9305998; 0.8694002; 0.0415141; -0.9991379
1.9702091; 0.0376178; 0.9376523; 0.8623477; 0.0062821; -0.9999803
2.2919143; 0.0370242; 0.9369911; 0.9630089; -0.0070912; -0.9999749
2.6061794; 0.0339881; 0.9339787; 0.9660213; -0.0124891; -0.9999220
2.9137963; 0.0292870; 0.9292768; 0.9707232; -0.0178402; -0.9998409
3.2162906; 0.0232373; 0.9231993; 0.9768007; -0.0220153; -0.9997576
3.5151880; 0.0161552; 0.9662138; 0.9337862; -0.0251695; -0.9996832
3.8120141; 0.0083568; 0.9651841; 0.9483828; -0.0271691; -0.9996309
4.1082946; 0.0001583; 1.0005504; 0.9994496; -0.0279282; -0.9996099
4.4054421; -0.0081472; 0.9918510; 1.0081490; -0.0279198; -0.9996102
4.7038560; -0.0164752; 0.9835294; 0.9164706; -0.0279028; -0.9996106
5.0033999; -0.0248512; 0.9751862; 0.9248138; -0.0280141; -0.9996075
5.3039328; -0.0333019; 0.9667048; 0.9332952; -0.0282187; -0.9996018
5.6053136; -0.0418536; 0.9582572; 0.9417428; -0.0285251; -0.9995931
5.9074012; -0.0505330; 0.9494453; 0.9505547; -0.0289305; -0.9995814
6.2100544; -0.0593666; 0.9406290; 0.9593710; -0.0294354; -0.9995667
6.5131322; -0.0683809; 0.9315691; 0.9684309; -0.0300400; -0.9995487
6.8164935; -0.0776025; 0.9223938; 0.9776062; -0.0307448; -0.9995273
7.1199972; -0.0870579; 0.9128331; 0.9871669; -0.0315503; -0.9995022
7.4235022; -0.0967738; 0.9032013; 0.9967987; -0.0324586; -0.9994731
7.7268674; -0.1067765; 0.9913716; 1.0051031; -0.0334664; -0.9994398
8.0299517; -0.1170927; 0.9829012; 1.0170988; -0.0345931; -0.9994015
8.3326154; -0.1277478; 1.0222577; 0.9777423; -0.0357634; -0.9993603
8.6347964; -0.1387109; 1.0112974; 0.9887026; -0.0366705; -0.9993274
8.9365496; -0.1498652; 1.0001653; 0.8998347; -0.0371422; -0.9993100
9.2379401; -0.1610869; 0.9889826; 0.9110174; -0.0372023; -0.9993078
9.5390327; -0.1722522; 0.9778504; 0.9221496; -0.0368426; -0.9993211
9.8398922; -0.1832374; 0.9667696; 0.9332304; -0.0360640; -0.9993495
10.1405835; -0.1939187; 0.9562094; 0.9437906; -0.0348656; -0.9993920
10.4411715; -0.2041721; 0.9457846; 0.9542154; -0.0332475; -0.9994471
10.7417209; -0.2138741; 0.9361019; 0.9638981; -0.0312103; -0.9995128
11.0422968; -0.2229006; 0.9400286; 0.9858988; -0.0287549; -0.9995865
11.3429639; -0.2311281; 0.9187464; 0.9812536; -0.0258835; -0.9996650
11.6437871; -0.2384326; 0.9115240; 0.9884760; -0.0225963; -0.9997447
11.9448313; -0.2446903; 0.9553390; 0.9446610; -0.0189032; -0.9998213
12.2461613; -0.2497776; 0.9511360; 0.9488640; -0.0147801; -0.9998908
12.5479133; -0.2536775; 0.9461412; 0.9538588; -0.0113899; -0.9999351
12.8505458; -0.2568578; 0.9427132; 0.9572868; -0.0099586; -0.9999504
13.1546083; -0.2599229; 0.9400752; 0.9599248; -0.0105405; -0.9999444
13.4606506; -0.2634771; 0.9365193; 0.9634807; -0.0129512; -0.9999161
13.7692222; -0.2681248; 1.0318940; 0.9681060; -0.0176608; -0.9998440
14.0808727; -0.2744706; 1.0255322; 0.9744678; -0.0226291; -0.9997439
14.3959635; -0.2833055; 1.0166940; 0.8833060; -0.0369560; -0.9993169
14.7083480; -0.3018708; 0.9982138; 0.9017862; -0.0916564; -0.9957907
15.0038674; -0.3453494; 0.9547943; 0.9452057; -0.2125192; -0.9771569
15.2678798; -0.4293945; 0.8967251; 0.9631801; -0.4086484; -0.9126919
15.4889836; -0.5637545; 0.8566657; 1.0352456; -0.6241418; -0.7813111
15.6636482; -0.7438348; 0.6879291; 1.0178193; -0.7997307; -0.6003589
15.7895151; -0.9629050; 0.7347741; 0.8652259; -0.9197974; -0.3923936
15.8664437; -1.2143898; 0.8166789; 0.7833211; -0.9793943; -0.2019573
15.9021404; -1.4922612; 0.8521543; 0.7478457; -0.9980211; -0.0628800
15.9060460; -1.7906123; 0.8560552; 0.7439448; -0.9995831; 0.0288723
15.8876016; -2.1035364; 0.8377327; 0.7622673; -0.9965564; 0.0829178
15.8562480; -2.4251264; 0.8063680; 0.7936320; -0.9943139; 0.1064891
15.8214262; -2.7494754; 0.7714465; 0.7285535; -0.9947424; 0.1024089
15.7925655; -3.0706838; 0.7424624; 0.7575376; -0.9973712; 0.0724620
15.7758493; -3.3848253; 0.7258754; 0.7741246; -0.9993840; 0.0350957
15.7697812; -3.6926433; 0.7197943; 0.7802057; -0.9999858; 0.0053280
15.7717547; -3.9955564; 0.7217439; 0.7782561; -0.9998548; -0.0170422
15.7791632; -4.2949830; 0.7290538; 0.7709462; -0.9995191; -0.0310107
15.7894002; -4.5923416; 0.7393998; 0.7606002; -0.9993384; -0.0363691
15.7998591; -4.8890507; 0.7513741; 0.7512551; -0.9994745; -0.0324153
15.8080409; -5.1864728; 0.8080400; 0.7919600; -0.9997545; -0.0221586
