s_m; a0; a1; a2; a3; b0; b1; b2; b3
0.2398677; 0.3658016; 0.1512776; 0.0322396; -0.0052806; -0.3847888; 0.1855171; -0.0259902; -0.0003489
0.2546497; 0.5440382; 0.2125791; 0.0185412; -0.0037764; -0.2256107; 0.1408829; -0.0305707; 0.0031991
0.2771221; 0.7713821; 0.2596666; 0.0085609; -0.0018574; -0.1120994; 0.0973361; -0.0248962; 0.0030217
0.2988544; 1.0377521; 0.2926464; 0.0034797; -0.0008110; -0.0366379; 0.0610816; -0.0184319; 0.0023790
0.3150166; 1.3330673; 0.3133236; 0.0011637; -0.0003080; 0.0083909; 0.0330589; -0.0125560; 0.0017100
0.3230554; 1.6472466; 0.3227959; 0.0002521; -0.0000856; 0.0306038; 0.0134121; -0.0078117; 0.0014136
0.3217082; 1.9702091; 0.3217105; -0.0000046; -0.0000007; 0.0376178; 0.0020211; -0.0035416; 0.0009269
0.3142801; 2.2919143; 0.3142733; -0.0000065; -0.0000017; 0.0370242; -0.0022286; -0.0007261; -0.0000814
0.3076532; 2.6061794; 0.3076288; -0.0000111; -0.0000007; 0.0339881; -0.0038423; -0.0009298; 0.0000711
0.3025551; 2.9137963; 0.3025071; -0.0000129; 0.0000001; 0.0292870; -0.0053977; -0.0006929; 0.0000409
0.2989814; 3.2162906; 0.2989090; -0.0000124; 0.0000008; 0.0232373; -0.0065822; -0.0005569; 0.0000569
0.2969286; 3.5151880; 0.2968346; -0.0000098; 0.0000013; 0.0161552; -0.0074735; -0.0003809; 0.0000560
0.2963939; 3.8120141; 0.2962845; -0.0000058; 0.0000018; 0.0083568; -0.0080528; -0.0002121; 0.0000664
0.2972636; 4.1082946; 0.2971477; -0.0000004; 0.0000003; 0.0001583; -0.0083020; -0.0000129; 0.0000095
0.2985301; 4.4054421; 0.2984137; 0.0000004; -0.0000002; -0.0081472; -0.0083349; 0.0000156; -0.0000087
0.2996610; 4.7038560; 0.2995443; -0.0000003; -0.0000001; -0.0164752; -0.0083614; -0.0000106; -0.0000040
0.3006517; 5.0033999; 0.3005337; -0.0000006; -0.0000001; -0.0248512; -0.0084225; -0.0000229; -0.0000052
0.3015021; 5.3039328; 0.3013820; -0.0000011; -0.0000001; -0.0333019; -0.0085080; -0.0000388; -0.0000049
0.3022122; 5.6053136; 0.3020892; -0.0000015; -0.0000002; -0.0418536; -0.0086206; -0.0000538; -0.0000050
0.3027821; 5.9074012; 0.3026554; -0.0000020; -0.0000002; -0.0505330; -0.0087596; -0.0000690; -0.0000050
0.3032119; 6.2100544; 0.3030805; -0.0000025; -0.0000002; -0.0593666; -0.0089252; -0.0000841; -0.0000050
0.3035014; 6.5131322; 0.3033645; -0.0000030; -0.0000002; -0.0683809; -0.0091172; -0.0000994; -0.0000051
0.3036510; 6.8164935; 0.3035074; -0.0000035; -0.0000002; -0.0776025; -0.0093357; -0.0001147; -0.0000051
0.3036605; 7.1199972; 0.3035093; -0.0000041; -0.0000002; -0.0870579; -0.0095806; -0.0001299; -0.0000053
0.3035301; 7.4235022; 0.3033701; -0.0000047; -0.0000002; -0.0967738; -0.0098522; -0.0001458; -0.0000048
0.3032598; 7.7268674; 0.3030900; -0.0000053; -0.0000003; -0.1067765; -0.0101490; -0.0001598; -0.0000074
0.3028512; 8.0299517; 0.3026699; -0.0000063; 0.0000000; -0.1170927; -0.0104766; -0.0001814; 0.0000028
0.3023797; 8.3326154; 0.3021863; -0.0000062; 0.0000008; -0.1277478; -0.0108141; -0.0001725; 0.0000236
0.3019594; 8.6347964; 0.3017563; -0.0000037; 0.0000007; -0.1387109; -0.0110730; -0.0001015; 0.0000202
0.3015993; 8.9365496; 0.3013912; -0.0000015; 0.0000008; -0.1498652; -0.0112021; -0.0000409; 0.0000212
0.3012995; 9.2379401; 0.3010909; 0.0000008; 0.0000008; -0.1610869; -0.0112090; 0.0000227; 0.0000210
0.3010600; 9.5390327; 0.3008556; 0.0000032; 0.0000007; -0.1722522; -0.0110918; 0.0000856; 0.0000211
0.3008810; 9.8398922; 0.3006852; 0.0000054; 0.0000007; -0.1832374; -0.0108510; 0.0001487; 0.0000211
0.3007628; 10.1405835; 0.3005800; 0.0000074; 0.0000006; -0.1939187; -0.0104863; 0.0002117; 0.0000211
0.3007061; 10.4411715; 0.3005398; 0.0000092; 0.0000005; -0.2041721; -0.0099977; 0.0002748; 0.0000210
0.3007114; 10.7417209; 0.3005649; 0.0000106; 0.0000003; -0.2138741; -0.0093853; 0.0003378; 0.0000209
0.3007798; 11.0422968; 0.3006554; 0.0000116; 0.0000002; -0.2229006; -0.0086489; 0.0004007; 0.0000207
0.3009120; 11.3429639; 0.3008112; 0.0000121; -0.0000000; -0.2311281; -0.0077887; 0.0004633; 0.0000208
0.3011094; 11.6437871; 0.3010325; 0.0000120; -0.0000002; -0.2384326; -0.0068039; 0.0005265; 0.0000196
0.3013732; 11.9448313; 0.3013193; 0.0000112; -0.0000006; -0.2446903; -0.0056969; 0.0005865; 0.0000232
0.3017773; 12.2461613; 0.3017443; 0.0000096; -0.0000019; -0.2497776; -0.0044603; 0.0006579; -0.0000975
0.3026492; 12.5479133; 0.3026297; 0.0000039; -0.0000011; -0.2536775; -0.0034471; 0.0003673; -0.0001005
0.3040780; 12.8505458; 0.3040629; 0.0000006; -0.0000010; -0.2568578; -0.0030282; 0.0000664; -0.0001033
0.3060630; 13.1546083; 0.3060460; -0.0000024; -0.0000013; -0.2599229; -0.0032261; -0.0002466; -0.0000816
0.3086069; 13.4606506; 0.3085808; -0.0000064; -0.0000028; -0.2634771; -0.0039968; -0.0004994; -0.0001515
0.3117155; 13.7692222; 0.3116677; -0.0000150; -0.0000022; -0.2681248; -0.0055052; -0.0009733; 0.0001327
0.3152174; 14.0808727; 0.3151297; -0.0000220; -0.0000169; -0.2744706; -0.0071329; -0.0005883; -0.0011136
0.3129755; 14.3959635; 0.3127573; -0.0000717; -0.0003012; -0.2833055; -0.0115662; -0.0038726; -0.0031266
0.2988876; 14.7083480; 0.2975312; -0.0008885; -0.0011233; -0.3018708; -0.0273859; -0.0120740; -0.0040186
0.2775604; 15.0038674; 0.2712080; -0.0036639; -0.0035318; -0.3453494; -0.0589843; -0.0207612; -0.0042997
0.2594129; 15.2678798; 0.2365188; -0.0124339; -0.0029811; -0.4293945; -0.1058989; -0.0293515; 0.0008903
0.2515362; 15.4889836; 0.1965534; -0.0200989; -0.0017899; -0.5637545; -0.1570146; -0.0250850; 0.0020194
0.2532610; 15.6636482; 0.1520588; -0.0258318; -0.0003601; -0.7438348; -0.2025557; -0.0192983; 0.0027838
0.2634243; 15.7895151; 0.1033768; -0.0291586; 0.0027103; -0.9629050; -0.2423223; -0.0118606; 0.0026981
0.2803848; 15.8664437; 0.0566629; -0.0238623; 0.0028961; -1.2143898; -0.2747873; -0.0042740; 0.0011899
0.2984814; 15.9021404; 0.0187730; -0.0172121; 0.0023447; -1.4922612; -0.2979622; -0.0007990; 0.0004100
0.3135055; 15.9060460; -0.0090529; -0.0112336; 0.0018420; -1.7906123; -0.3134182; 0.0004758; 0.0000183
0.3231225; 15.8876016; -0.0267940; -0.0060642; 0.0015047; -2.1035364; -0.3220267; 0.0005640; -0.0001273
0.3262134; 15.8562480; -0.0347384; -0.0015801; 0.0014968; -2.4251264; -0.3243611; 0.0001857; -0.0001737
0.3225145; 15.8214262; -0.0330284; 0.0028443; 0.0013234; -2.7494754; -0.3208195; -0.0003278; -0.0000611
0.3146042; 15.7925655; -0.0227958; 0.0064842; -0.0004046; -3.0706838; -0.3137627; -0.0004863; 0.0001075
0.3078892; 15.7758493; -0.0108059; 0.0050479; -0.0003101; -3.3848253; -0.3077084; -0.0001569; 0.0000473
0.3029258; 15.7697812; -0.0016140; 0.0039860; -0.0003985; -3.6926433; -0.3029220; -0.0000147; 0.0000236
0.2995207; 15.7717547; 0.0051045; 0.0027282; -0.0004242; -3.9955564; -0.2994796; 0.0000550; -0.0000019
0.2975351; 15.7791632; 0.0092268; 0.0014363; -0.0004261; -4.2949830; -0.2973929; 0.0000486; -0.0000143
0.2968936; 15.7894002; 0.0107978; 0.0001573; -0.0004961; -4.5923416; -0.2966976; 0.0000057; -0.0000172
0.2975359; 15.7998591; 0.0096447; -0.0013369; -0.0001260; -4.8890507; -0.2973787; -0.0000462; 0.0000028
0.2987138; 15.8080409; 0.0066191; -0.0017284; 0.0001043; -5.1864728; -0.2986401; -0.0000380; 0.0000075
0.2998320; 15.8130358; 0.0034881; -0.0014262; 0.0000491; -5.4851434; -0.2998122; -0.0000156; 0.0000042
0.3008661; 15.8151468; 0.0007858; -0.0012876; 0.0000626; -5.7849670; -0.3008651; -0.0000030; 0.0000031
0.3018071; 15.8147075; -0.0016068; -0.0011068; 0.0000576; -6.0858320; -0.3018030; 0.0000064; 0.0000017
0.3026477; 15.8120515; -0.0036577; -0.0009391; 0.0000578; -6.3876269; -0.3026257; 0.0000117; 0.0000007
0.3033814; 15.8075125; -0.0053757; -0.0007696; 0.0000567; -6.6902401; -0.3033339; 0.0000139; -0.0000001
0.3040033; 15.8014239; -0.0067586; -0.0006020; 0.0000561; -6.9935602; -0.3039282; 0.0000136; -0.0000008
0.3045093; 15.7941195; -0.0078072; -0.0004351; 0.0000556; -7.2974756; -0.3044093; 0.0000113; -0.0000012
0.3048966; 15.7859328; -0.0085214; -0.0002690; 0.0000551; -7.6018748; -0.3047775; 0.0000076; -0.0000015
0.3051635; 15.7771975; -0.0089020; -0.0001040; 0.0000556; -7.9066462; -0.3050336; 0.0000031; -0.0000016
0.3053092; 15.7682470; -0.0089475; 0.0000628; 0.0000528; -8.2116784; -0.3051780; -0.0000019; -0.0000015
0.3053341; 15.7594152; -0.0086642; 0.0002212; 0.0000632; -8.5168598; -0.3052112; -0.0000064; -0.0000015
0.3052409; 15.7510354; -0.0080296; 0.0004107; 0.0000151; -8.8220788; -0.3051352; -0.0000109; 0.0000001
0.3050560; 15.7434316; -0.0071587; 0.0004554; -0.0000344; -9.1272248; -0.3049720; -0.0000106; 0.0000011
0.3048044; 15.7366939; -0.0063459; 0.0003516; -0.0000239; -9.4322063; -0.3047384; -0.0000072; 0.0000007
0.3044862; 15.7306757; -0.0057085; 0.0002793; -0.0000267; -9.7369513; -0.3044327; -0.0000052; 0.0000006
0.3041005; 15.7252197; -0.0052234; 0.0001986; -0.0000260; -10.0413886; -0.3040556; -0.0000034; 0.0000005
0.3036466; 15.7201689; -0.0048969; 0.0001202; -0.0000263; -10.3454471; -0.3036071; -0.0000019; 0.0000004
0.3031242; 15.7153660; -0.0047271; 0.0000412; -0.0000264; -10.6490557; -0.3030873; -0.0000006; 0.0000004
0.3025331; 15.7106538; -0.0047145; -0.0000377; -0.0000265; -10.9521432; -0.3024964; 0.0000006; 0.0000004
